categories,PCK0.05,PCK0.10,PCK0.15,Weighted PCK0.05,Weighted PCK0.10,Weighted PCK0.15
aeroplane,0.09473684430122375,0.21052631735801697,0.3263157904148102,0.11175814288416036,0.21565645696427113,0.29688893644805736
bicycle,0.10942249000072479,0.23404255509376526,0.3069908916950226,0.11175814288416036,0.21565645696427113,0.29688893644805736
bird,0.08974359184503555,0.19230769574642181,0.28205129504203796,0.11175814288416036,0.21565645696427113,0.29688893644805736
boat,0.0625,0.125,0.15625,0.11175814288416036,0.21565645696427113,0.29688893644805736
bottle,0.296875,0.359375,0.4375,0.11175814288416036,0.21565645696427113,0.29688893644805736
bus,0.14689265191555023,0.23728813230991364,0.31073445081710815,0.11175814288416036,0.21565645696427113,0.29688893644805736
car,0.20359280705451965,0.2934131622314453,0.35329341888427734,0.11175814288416036,0.21565645696427113,0.29688893644805736
cat,0.14130434393882751,0.25,0.375,0.11175814288416036,0.21565645696427113,0.29688893644805736
chair,0.05714285746216774,0.08571428805589676,0.11428571492433548,0.11175814288416036,0.21565645696427113,0.29688893644805736
cow,0.125,0.3541666567325592,0.4375,0.11175814288416036,0.21565645696427113,0.29688893644805736
diningtable,0.02500000037252903,0.07500000298023224,0.125,0.11175814288416036,0.21565645696427113,0.29688893644805736
dog,0.08588957041501999,0.16564416885375977,0.2269938588142395,0.11175814288416036,0.21565645696427113,0.29688893644805736
horse,0.0602409653365612,0.16867469251155853,0.27710843086242676,0.11175814288416036,0.21565645696427113,0.29688893644805736
motorbike,0.12790697813034058,0.27906978130340576,0.39534884691238403,0.11175814288416036,0.21565645696427113,0.29688893644805736
person,0.11299435049295425,0.28248587250709534,0.35593220591545105,0.11175814288416036,0.21565645696427113,0.29688893644805736
pottedplant,0.04878048598766327,0.2195121943950653,0.31707316637039185,0.11175814288416036,0.21565645696427113,0.29688893644805736
sheep,0.0,0.0,0.20000000298023224,0.11175814288416036,0.21565645696427113,0.29688893644805736
sofa,0.0446428582072258,0.0892857164144516,0.1875,0.11175814288416036,0.21565645696427113,0.29688893644805736
train,0.09090909361839294,0.20202019810676575,0.27272728085517883,0.11175814288416036,0.21565645696427113,0.29688893644805736
tvmonitor,0.08064515888690948,0.19354838132858276,0.24193547666072845,0.11175814288416036,0.21565645696427113,0.29688893644805736
